key	cn
WULA_Base_Tex_Quest.questDescriptionRules.rulesStrings	"questDescription->唯死亡和税收不可避免——按时上交什一税是乌拉帝国殖民地的光荣义务。

乌拉帝国每隔10天收一次什一税，什一税会从殖民地储存在舰队中的资产里面扣除，你可以建造<color=#6BB7B7><i>乌拉帝国物资输送舱</i></color>来将物资输送到位于轨道上的舰队。

乌拉帝国对积极纳税的殖民地会给予更多关照——但是如果拖延，则每延期一天都会惹其不快，最后甚至有可能被定性为叛国！"
WULA_Base_Tex_Quest.questNameRules.rulesStrings	questName->什一税税收
WULA_Base_Tex_Quest.root.nodes.Greater-0.node.value2.slateRef	0.8
WULA_Base_Tex_Quest.root.nodes.Greater-1.node.value2.slateRef	0.8
WULA_Base_Tex_Quest.root.nodes.Greater-2.node.value2.slateRef	0.8
WULA_Base_Tex_Quest.root.nodes.Handle_Outtime.node.nodes.Letter.label.slateRef	未按时纳税
WULA_Base_Tex_Quest.root.nodes.Handle_Outtime.node.nodes.Letter.text.slateRef	作为乌拉帝国的殖民地，你被发现未按时纳税——或许一次两次她们可以原谅你，但是一直拖欠必然会激怒她们！
WULA_Base_Tex_Quest.root.nodes.Letter.label.slateRef	什一税
WULA_Base_Tex_Quest.root.nodes.Letter.text.slateRef	"唯死亡和税收不可避免——按时上交什一税是乌拉帝国殖民地的光荣义务。

查看任务列表以了解更多。"
WULA_Base_Tex_Quest.root.nodes.TaxPaymentSuccess.node.nodes.Letter.label.slateRef	纳税完成
WULA_Base_Tex_Quest.root.nodes.TaxPaymentSuccess.node.nodes.Letter.text.slateRef	帝国已经接收了税款，为了表彰你在纳税上的良好表现，一封税金缴纳凭证已经送到你的殖民地中！
WULA_Boss_Sky_Lock.questDescriptionRules.rulesStrings	"questDescription->乌拉帝国行星封锁机关的总控AI向殖民地发送了一个特殊的请求，一台部署在运输舰上的乌拉帝国战争机械——<color=#AA74E5><i>灵能泰坦</i></color>——因为失控而无差别攻击，行星封锁机关不得不让运输舰坠向星球表面以阻止事态扩大。

可惜的是，<color=#AA74E5><i>灵能泰坦</i></color>没有因为运输舰坠毁而受到伤害，其仍然在星球表面大肆杀戮，殖民地必须直面这台骇人的巨兽。行星封锁机关为殖民地提供了以下信息：

<color=#9F0400><i>-内驱回路</i></color> PAt-6""灵能泰坦""虽然是一台强大的灵能战争机器，但是其灵能回路是以封闭循环的方式刻印的，外部的灵能攻击无法影响它
<color=#9F0400><i>-死亡使者</i></color> PAt-6""灵能泰坦""的灵能尖啸可以无差别粉碎所有的目标，除非有足够的信心和手段控制住它，否则不要与其正面交锋
<color=#9F0400><i>-连环天锁</i></color> PAt-6""灵能泰坦""一定会和天锁一起出现，天锁是纯粹的灵能造物，可以吸收灵能泰坦受到的伤害。在所有的天锁被摧毁前，灵能泰坦不会受到伤害。
<color=#9F0400><i>-网络控制</i></color> PAt-6""灵能泰坦""的控制了附近在坠毁中幸存的战车集群，因此坠毁地区很可能不只有一个敌人

行星封锁机关承诺，一旦击败了暴走的<color=#AA74E5><i>灵能泰坦</i></color>，她们可以回收其灵能回路的核心，以此为殖民地建造一台全新的灵能泰坦。"
